t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,gas_price_mean,gas_price_median,google_trends,transfers_med,sigma,sp500,vix,gold
2016-02-02,32,611654698495.618,552,2.21186624962959,2.442691063685049,2.144302548464671,2.436596071689222,49528,29.4629278384457,77020533.31198,14279,65763607540.9972,50000000000.0,0.0028,1.12589704,0.0697863505198296,1903.030029296875,21.979999542236328,1127.300048828125
2016-02-03,33,652814909716.255,640,2.420378076419968,2.536189911890893,2.332383759443451,2.5201485431895048,50168,27.7291754772881,77047835.03073,14269,64138762371.9195,50000000000.0,0.0026,1.20866838,0.0536523338800159,1912.530029296875,21.649999618530273,1141.300048828125
2016-02-04,34,650820913525.013,532,2.520449201166233,2.6235326975633733,2.416751550129172,2.5664219722279773,50700,32.7175018566422,77074397.37448,14371,73409019027.066,50000000000.0,0.0033,1.15144636,0.0569542307926422,1915.449951171875,21.84000015258789,1157.5999755859375
2016-02-05,35,652668929515.163,740,2.546835783380388,2.598547226506089,2.455834633979755,2.523322576694688,51440,38.9743714931853,77100955.96823,15246,68267066894.059,50000000000.0,0.0024,1.1045908,0.0395233239583552,1880.050048828125,23.3799991607666,1157.800048828125
2016-02-06,36,627249509998.634,490,2.527959648774001,2.564734851852606,2.457534091111744,2.523505489289529,51930,240.782836139498,77127301.74948,31399,131916789237.461,50000000000.0,0.0028,1.17664773,0.0301711927263069,1880.050048828125,23.3799991607666,1157.800048828125
2016-02-07,37,650154771195.644,497,2.529016693824503,3.063018025733543,2.516337031842235,2.974746063871451,52427,53.1207339074332,77153986.43698,14260,81674346129.9189,50000000000.0,0.004,1.20625148,0.0956350396669458,1880.050048828125,23.3799991607666,1157.800048828125
2016-02-08,38,677146155598.835,576,2.978775152460376,3.26993689907199,2.876767705617704,3.155982503824561,53003,37.8124273588684,77180638.31198,14704,80464718771.046,50000000000.0,0.0054,1.2335522451709,0.083157904074476,1853.43994140625,26.0,1197.9000244140625
2016-02-09,39,658040084314.776,720,3.158303758933346,4.024197177617309,3.150149595974096,4.024197177617309,53723,50.1669254837127,77207112.53073,15515,124510154915.646,50000000000.0,0.0047,1.24040335,0.0854677979807636,1852.2099609375,26.540000915527344,1198.699951171875
2016-02-10,40,668735727240.027,1266,3.979730558189464,4.85030985529329,3.724776779593974,4.435410256958598,54989,58.8842443713483,77233273.78073,17128,141408960350.28,50000000000.0,0.01,1.49193169,0.1741198981690213,1851.8599853515625,26.290000915527344,1194.699951171875
2016-02-11,41,696786399096.858,1989,4.380979904324843,6.43168400541435,4.266718784702707,6.061098394039962,56978,46.5235472664257,77259751.59323,21425,66423382206.9817,50000000000.0,0.0091,1.13842612,0.208575827754161,1829.0799560546875,28.139999389648438,1247.9000244140625
2016-02-12,42,672574478346.124,1477,6.037470857289309,6.663593921168496,5.183069465199586,5.589237909962914,58455,33.0655454190097,77286250.49948,18089,62799761219.945694,50000000000.0,0.01,1.32202411,0.1710770816606042,1864.780029296875,25.399999618530273,1239.0999755859375
