t,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,V1
2016-04-15,1240432941748700000,220995,425.4616122478052,430.8285986141109,424.3985382365005,430.4106286825848,140719008,44.67354732,15436925.0,212039,0.0201
2016-04-16,1241353760127120000,199902,430.0616106757731,434.5216643006052,428.9168164391709,433.2765036183376,140918910,34.12321152,15440375.0,181866,0.0204
2016-04-17,1378897390051800000,211892,432.7509294827165,433.9021211042365,426.7637643233011,428.91892249032605,141130802,34.28061725,15444325.0,192270,0.0213
2016-04-18,1193730842021090000,229748,429.51201877619934,433.5337588853873,427.2426458758447,429.62552571146455,141360550,47.33042977,15447675.0,220261,0.0213
2016-04-19,1327069046058190000,241409,429.8731044118811,437.6872836541469,427.6132180568842,436.6868552636164,141601959,43.48327587,15451425.0,226361,0.0237
2016-04-20,1470575291940040000,236507,436.7100836071733,443.9794738823233,434.47165582965033,442.45631725659206,141838466,43.21507171,15455550.0,216615,0.0231
2016-04-21,1340816206897700000,239508,442.67011725574486,453.1519106146008,440.8867269352865,451.6680756279053,142077974,42.82120266,15459325.0,212644,0.0258
2016-04-22,1252290268138320000,228679,452.0161763140044,452.29281054701823,443.9468530820332,448.09023328498296,142306653,42.68874359,15462900.0,210833,0.027
2016-04-23,1282919481128560000,201689,448.8947698108923,455.4868984701546,444.9126070147148,455.4868984701546,142508342,33.15097021,15466500.0,185072,0.0228
2016-04-24,1167766910405060000,199886,454.14632773227913,464.4894396228565,449.99815668270696,462.2531786289896,142708228,33.26865456,15469800.0,183023,0.0249
2016-04-25,1140707174276980000,237672,462.86406102019794,470.9750437082324,456.6126989636049,464.5798340098007,142945900,43.29847026,15472975.0,217437,0.0258
2016-04-26,1314876213334090000,265262,465.3537516582416,471.716884965595,463.82988787377207,469.6017137637834,143211162,337.75639818,15476750.0,250593,0.0258
2016-04-27,1166631579553060000,246366,469.8007680774861,470.6740159438724,443.9995682783062,444.59813801158623,143457528,46.11149971,15479975.0,239306,0.0276
2016-04-28,1200177231355560000,233167,445.4618461940196,451.7265497426921,436.7235782382421,451.7265497426921,143690695,49.62034503,15483350.0,247822,0.03
2016-04-29,1368509975428720000,248819,451.03231423727885,458.177405100658,446.6976179032883,457.444408673028,143939514,49.9195874,15487300.0,261726,0.0264
