t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,google_trends,transfers_med,sigma,gold,sp500,vix
2020-10-21,1755,129724962628385000000,490652,11912.295860977298,13184.566172552148,11901.111703556606,12823.721613011156,724285391,116.64309349,18523468.75,311162,0.1248,0.05584088,0.056077969561363,1924.5999755859373,3435.56005859375,28.649999618530273
2020-10-22,1756,135624463884415000000,539330,12794.259169790392,13161.581293779967,12717.373935443233,12965.93891096706,724824721,166.97812487,18524325.0,338950,0.13,0.05517255,0.022819827402624,1901.0999755859373,3453.489990234375,28.110000610351562
2020-10-23,1757,129901810764176000000,511169,12972.252451705452,13015.961442651294,12755.211524863087,12928.422292893309,725335890,144.01814194,18525143.75,323738,0.1079,0.04731437,0.0141538868326697,1902.0,3465.389892578125,27.549999237060547
2020-10-24,1758,151913162243236000000,478407,12927.3832392706,13144.01504415748,12885.746628510917,13112.518308892806,725814297,93.84222181,18526093.75,306622,0.0897,0.03083304,0.0108995176459251,1902.0,3465.389892578125,27.549999237060547
2020-10-25,1759,115729230114620000000,402253,13109.57623378953,13318.190589190126,12916.12464042843,13025.152726171284,726216550,65.2647025,18526825.0,242156,0.0897,0.03563566,0.0213006906915907,1902.0,3465.389892578125,27.549999237060547
2020-10-26,1760,110143506940865000000,418046,13032.839551001807,13225.297760761849,12823.703856605049,13072.25343050888,726634596,111.29083665,18527512.5,252384,0.0949,0.05593593,0.0217235447443612,1902.699951171875,3400.969970703125,32.459999084472656
2020-10-27,1761,97778343236895800000,433878,13063.19723793526,13758.39181353944,13061.284838855234,13638.61347118853,727068474,192.23520467,18528131.25,251839,0.1131,0.07094846,0.0251799222004635,1908.800048828125,3390.679931640625,33.349998474121094
2020-10-28,1762,99388891065624100000,441263,13635.202240181252,13832.620149144715,12932.29132388745,13274.1015514869,727509737,226.66214815,18528756.25,261240,0.1183,0.06731296,0.0445703104386362,1876.199951171875,3271.030029296875,40.279998779296875
2020-10-29,1763,107256844040483000000,463925,13264.798981959188,13612.048016575747,12980.52423089152,13449.310773172034,727973662,259.23173259,18529431.25,275962,0.0988,0.05868924,0.0324754648965873,1865.5999755859373,3310.110107421875,37.59000015258789
2020-10-30,1764,111789933929749000000,440119,13445.643589160334,13651.516269519145,13157.878119872375,13567.751090472697,728413781,262.34694254,18530125.0,268253,0.1053,0.0542589,0.0254292930331966,1877.4000244140625,3269.9599609375,38.02000045776367
2020-10-31,1765,111373771128382000000,441682,13558.568467360486,13969.652850886623,13462.272551470804,13779.026945510965,728855463,264.03799985,18530831.25,275683,0.1027,0.04438199,0.0241633363253896,1877.4000244140625,3269.9599609375,38.02000045776367
2020-11-01,1766,123936369557388000000,425333,13777.214324198883,13851.846672125894,13637.488525982952,13712.179226753678,729280796,177.84284836,18531612.5,276155,0.0966,0.03399887,0.0106287234699517,1877.4000244140625,3269.9599609375,38.02000045776367
2020-11-02,1767,94340843698670600000,382139,13746.668380695171,13807.538533259712,13243.282666183664,13558.759567504292,729662935,209.46858831,18532206.25,224514,0.0966,0.06313166,0.0282361034612726,1890.4000244140625,3310.239990234375,37.130001068115234
2020-11-03,1768,123597309765158000000,529072,13550.366610438508,13984.981927819948,13325.441382005192,13914.806921199464,730192007,289.30998956,18533081.25,331533,0.0897,0.04579188,0.029912937149949,1908.5,3369.159912109375,35.54999923706055
2020-11-04,1769,134544136642156000000,509272,13973.714123909274,14211.873754619675,13581.662472686632,14127.434501432555,730701279,205.03254149,18534075.0,320538,0.0874,0.03865601,0.0313432962246425,1894.5999755859373,3443.43994140625,29.56999969482422
2020-11-05,1770,118933725693756000000,515031,14141.099139041358,15706.29420442716,14105.59632615231,15556.660674219534,731216310,260.44440041,18534993.75,318521,0.1357,0.05710165,0.0475505678697492,1945.300048828125,3510.449951171875,27.579999923706055
2020-11-06,1771,127818435750554000000,541866,15575.995182878603,15902.977502865262,15226.839392402797,15552.789426236755,731758176,239.93433418,18535950.0,340198,0.1518,0.04641621,0.0307075026093321,1950.300048828125,3509.43994140625,24.860000610351562
2020-11-07,1772,122967862839676000000,440998,15573.862121221708,15722.586653165026,14425.828198195251,14849.092332069496,732199174,135.23436243,18536862.5,270755,0.115,0.03511472,0.0531736338060037,1950.300048828125,3509.43994140625,24.860000610351562
2020-11-08,1773,114697172247350000000,408013,14837.102139852235,15637.320337875111,14768.714354337202,15486.128766242586,732607187,95.69061817,18537725.0,242909,0.1081,0.03017182,0.0304128081064552,1950.300048828125,3509.43994140625,24.860000610351562
2020-11-09,1774,152853294068394000000,520324,15473.55677587688,15784.249225938138,14865.529276641686,15336.738597655203,733127511,142.15849695,18538881.25,326198,0.1173,0.03472881,0.0420425953330483,1853.199951171875,3550.5,25.75
2020-11-10,1775,122656727186605000000,492985,15336.435511193538,15449.620803290349,15125.106318204333,15289.79446632406,733620496,154.8373255,18539800.0,303123,0.1012,0.04201362,0.0148909156571322,1875.4000244140625,3545.530029296875,24.799999237060547
2020-11-11,1776,123314591474033000000,509966,15305.071062495244,15908.693496407954,15290.006817285972,15693.906873452925,734130462,107.57878081,18540718.75,322130,0.1081,0.03825738,0.023314436207085,1860.699951171875,3572.659912109375,23.450000762939453
2020-11-12,1777,133452956800067000000,519504,15687.777567674782,16304.983801021912,15534.843122429966,16281.41451196556,734649966,102.85022306,18541718.75,324695,0.1265,0.03808536,0.0252519023201354,1872.5999755859373,3537.010009765625,25.350000381469727
2020-11-13,1778,115949327848019000000,496848,16292.71704795284,16462.7165484064,15992.152800602791,16311.513322639245,735146814,100.5666202,18542587.5,299901,0.1311,0.04074688,0.0204936200520464,1885.699951171875,3585.14990234375,23.100000381469727
2020-11-14,1779,118951378399871000000,449703,16314.263353467437,16314.263353467437,15776.768439259788,16075.452733873575,735596517,59.15558129,18543475.0,273369,0.1081,0.03017332,0.0218441316213288,1885.699951171875,3585.14990234375,23.100000381469727
2020-11-15,1780,124875241422093000000,407914,16063.671430719269,16119.264673045867,15793.533916785282,15962.09895156044,736004431,42.4333546,18544412.5,252565,0.0989,0.02463381,0.0138864367852873,1885.699951171875,3585.14990234375,23.100000381469727
2020-11-16,1781,136158304329831000000,493329,15953.998052949832,16804.40914198469,15887.108130604507,16709.612283879444,736497760,83.45770555,18545412.5,311317,0.1219,0.0381875,0.0273548070462841,1887.300048828125,3626.909912109375,22.450000762939453
2020-11-17,1782,136840305323567000000,558880,16700.900927395527,17782.620109398613,16564.544992042578,17667.381593434377,737056640,90.54129648,18546393.75,347615,0.1702,0.03976398,0.0359842565977905,1884.5,3609.530029296875,22.709999084472656
2020-11-18,1783,146411297553796000000,581082,17622.876858423624,18393.58525210072,17353.154104447178,17812.23323674995,737637722,97.63868616,18547450.0,361838,0.2024,0.03806813,0.0406338250533778,1873.5,3567.7900390625,23.84000015258789
2020-11-19,1784,119777232389561000000,517332,17777.69496540892,18119.249350595645,17382.55398903465,17797.55269185706,738155054,94.51871958,18548306.25,310924,0.1633,0.03884806,0.0293422542242596,1861.0999755859373,3581.8701171875,23.110000610351562
2020-11-20,1785,146905600959540000000,559823,17801.62567111298,18772.92326413713,17766.895639536437,18624.912737033366,738714877,76.3498895,18549356.25,347858,0.1794,0.03507207,0.0269676546801729,1872.5999755859373,3557.5400390625,23.700000762939453
