t,total_transactions
2018-09-20,253520
2018-09-21,272907
2018-09-22,225382
2018-09-23,200169
2018-09-24,237522
2018-09-25,251944
2018-09-26,243788
2018-09-27,248543
2018-09-28,254085
2018-09-29,218187
2018-09-30,208047
2018-10-01,242662
2018-10-02,244635
2018-10-03,242158
2018-10-04,243007
2018-10-05,244589
2018-10-06,214718
2018-10-07,219589
2018-10-08,247906
2018-10-09,235732
2018-10-10,244801
2018-10-11,262308
2018-10-12,243042
2018-10-13,204956
2018-10-14,191145
2018-10-15,266783
2018-10-16,257832
2018-10-17,260224
2018-10-18,253312
2018-10-19,253684
2018-10-20,227678
2018-10-21,211367
2018-10-22,255169
2018-10-23,253309
2018-10-24,253978
2018-10-25,254462
2018-10-26,252859
2018-10-27,233613
2018-10-28,219720
2018-10-29,269608
2018-10-30,283173
2018-10-31,288120
2018-11-01,281787
2018-11-02,292561
2018-11-03,249403
2018-11-04,226124
2018-11-05,296139
2018-11-06,285323
2018-11-07,293604
2018-11-08,277476
2018-11-09,283769
2018-11-10,252368
2018-11-11,246845
2018-11-12,299866
2018-11-13,279040
2018-11-14,292620
2018-11-15,291398
2018-11-16,282998
2018-11-17,262504
2018-11-18,239680
2018-11-19,267845
2018-11-20,288318
2018-11-21,254837
2018-11-22,265994
2018-11-23,275136
2018-11-24,249874
2018-11-25,239129
2018-11-26,256951
2018-11-27,268402
2018-11-28,254338
2018-11-29,246121
2018-11-30,250056
2018-12-01,241723
2018-12-02,222559
2018-12-03,240538
2018-12-04,270051
2018-12-05,256371
2018-12-06,279519
2018-12-07,253776
2018-12-08,230977
2018-12-09,238441
2018-12-10,258229
2018-12-11,251362
2018-12-12,261303
2018-12-13,268291
2018-12-14,275655
2018-12-15,262730
2018-12-16,226338
2018-12-17,298663
2018-12-18,266117
2018-12-19,302243
2018-12-20,287138
2018-12-21,280448
2018-12-22,251041
2018-12-23,250563
2018-12-24,272145
2018-12-25,264893
2018-12-26,281148
2018-12-27,299846
2018-12-28,308100
2018-12-29,264842
2018-12-30,267463
2018-12-31,259529
2019-01-01,234576
2019-01-02,271545
2019-01-03,290861
2019-01-04,281623
2019-01-05,265029
2019-01-06,258381
2019-01-07,284641
2019-01-08,318355
2019-01-09,318892
2019-01-10,327182
2019-01-11,308224
2019-01-12,281364
2019-01-13,276860
2019-01-14,326536
2019-01-15,302147
2019-01-16,305569
2019-01-17,296568
2019-01-18,305827
2019-01-19,282055
2019-01-20,293961
2019-01-21,315052
2019-01-22,295910
2019-01-23,293348
2019-01-24,307984
2019-01-25,300947
2019-01-26,288135
2019-01-27,276514
2019-01-28,307917
2019-01-29,326016
2019-01-30,321844
2019-01-31,353790
2019-02-01,339183
2019-02-02,321888
2019-02-03,300033
2019-02-04,335141
2019-02-05,353922
2019-02-06,349432
2019-02-07,352872
2019-02-08,335117
2019-02-09,310742
2019-02-10,299469
2019-02-11,315580
2019-02-12,271445
2019-02-13,352498
2019-02-14,354342
2019-02-15,296602
2019-02-16,331987
2019-02-17,327304
2019-02-18,344119
2019-02-19,348086
2019-02-20,314190
2019-02-21,297476
2019-02-22,350144
2019-02-23,328096
2019-02-24,320309
2019-02-25,336491
2019-02-26,366407
2019-02-27,344419
2019-02-28,367677
2019-03-01,354260
2019-03-02,335732
2019-03-03,353537
2019-03-04,304051
2019-03-05,285567
2019-03-06,277735
2019-03-07,282381
2019-03-08,285118
2019-03-09,239354
2019-03-10,212741
2019-03-11,294599
2019-03-12,285510
2019-03-13,285822
2019-03-14,299774
2019-03-15,296817
2019-03-16,262104
2019-03-17,227144
2019-03-18,291344
2019-03-19,304570
2019-03-20,304799
2019-03-21,300569
2019-03-22,298363
2019-03-23,251428
2019-03-24,226016
2019-03-25,322043
2019-03-26,366281
2019-03-27,383037
2019-03-28,393552
2019-03-29,369670
2019-03-30,377644
2019-03-31,381513
2019-04-01,368768
2019-04-02,401350
2019-04-03,360108
2019-04-04,354520
2019-04-05,386932
2019-04-06,359430
2019-04-07,350490
2019-04-08,372269
2019-04-09,345939
2019-04-10,396353
2019-04-11,402645
2019-04-12,376616
2019-04-13,366941
2019-04-14,336908
2019-04-15,381328
2019-04-16,358372
2019-04-17,350599
2019-04-18,382832
2019-04-19,361976
2019-04-20,319709
2019-04-21,390573
2019-04-22,341880
2019-04-23,311637
2019-04-24,404116
2019-04-25,383946
2019-04-26,381058
2019-04-27,358871
2019-04-28,383128
2019-04-29,363044
2019-04-30,346346
2019-05-01,439378
2019-05-02,452462
2019-05-03,382880
2019-05-04,355778
2019-05-05,330603
2019-05-06,378325
2019-05-07,329816
2019-05-08,392929
2019-05-09,361419
2019-05-10,322838
2019-05-11,344827
2019-05-12,338413
2019-05-13,390261
2019-05-14,367218
2019-05-15,368752
2019-05-16,374916
2019-05-17,361503
2019-05-18,359551
2019-05-19,346696
2019-05-20,381421
2019-05-21,380736
2019-05-22,394720
2019-05-23,389185
2019-05-24,373729
2019-05-25,338258
2019-05-26,373907
2019-05-27,399417
2019-05-28,390263
2019-05-29,404981
2019-05-30,376714
2019-05-31,298880
2019-06-01,331941
2019-06-02,300872
2019-06-03,293890
2019-06-04,374609
