t,new_btc
2017-09-24,1812.5
2017-09-25,1562.5
2017-09-26,1725.0
2017-09-27,1837.5
2017-09-28,2212.5000000000005
2017-09-29,2112.5
2017-09-30,1724.9999999999998
2017-10-01,1625.0
2017-10-02,1875.0000000000002
2017-10-03,2287.5
2017-10-04,1675.0
2017-10-05,1562.5
2017-10-06,1987.4999999999998
2017-10-07,1974.9999999999995
2017-10-08,2275.0
2017-10-09,2012.5
2017-10-10,2000.0000000000002
2017-10-11,1737.5
2017-10-12,1912.5000000000005
2017-10-13,1699.9999999999998
2017-10-14,1762.5000000000005
2017-10-15,2437.5
2017-10-16,2175.0
2017-10-17,2049.9999999999995
2017-10-18,1887.5000000000005
2017-10-19,2225.0000000000005
2017-10-20,2237.4999999999995
2017-10-21,1912.5
2017-10-22,2275.0000000000005
2017-10-23,2137.5000000000005
2017-10-24,2087.5
2017-10-25,2312.5
2017-10-26,2250.0
2017-10-27,1300.0
2017-10-28,1062.5
2017-10-29,1925.0000000000002
2017-10-30,1837.5000000000005
2017-10-31,1725.0000000000005
2017-11-01,1950.0
2017-11-02,1874.9999999999998
2017-11-03,1487.4999999999998
2017-11-04,1625.0
2017-11-05,1762.5
2017-11-06,1662.5
2017-11-07,1950.0
2017-11-08,1800.0
2017-11-09,1912.5000000000005
2017-11-10,1499.9999999999998
2017-11-11,1000.0
2017-11-12,1000.0
2017-11-13,1750.0000000000002
2017-11-14,1600.0
2017-11-15,1900.0
2017-11-16,1900.0
2017-11-17,2087.4999999999995
2017-11-18,1700.0
2017-11-19,2000.0000000000005
2017-11-20,2187.5000000000005
2017-11-21,2162.4999999999995
2017-11-22,1850.0
2017-11-23,1962.5000000000005
2017-11-24,1862.5000000000002
2017-11-25,1949.9999999999995
2017-11-26,1912.4999999999998
2017-11-27,2124.9999999999995
2017-11-28,1949.9999999999993
2017-11-29,2162.4999999999995
2017-11-30,2087.5000000000005
2017-12-01,2287.5
2017-12-02,2012.4999999999995
2017-12-03,2199.999999999999
2017-12-04,2262.4999999999995
2017-12-05,2224.999999999999
2017-12-06,2349.999999999999
2017-12-07,1900.0000000000007
2017-12-08,1950.0
2017-12-09,2175.0000000000005
2017-12-10,2050.0
2017-12-11,2137.5
2017-12-12,1950.0000000000002
2017-12-13,2325.0000000000005
2017-12-14,2312.5
2017-12-15,2112.5
2017-12-16,2137.500000000001
2017-12-17,2312.5
2017-12-18,2274.999999999999
2017-12-19,1750.0000000000005
2017-12-20,1699.9999999999995
2017-12-21,1650.0000000000005
2017-12-22,1937.4999999999998
2017-12-23,1737.5000000000002
2017-12-24,1900.0000000000002
2017-12-25,1687.5
2017-12-26,1774.9999999999998
2017-12-27,1949.9999999999998
2017-12-28,1862.4999999999998
2017-12-29,2062.5
2017-12-30,1825.0000000000002
2017-12-31,2037.4999999999993
2018-01-01,1950.0
2018-01-02,2137.5
2018-01-03,1962.4999999999998
2018-01-04,2100.0
2018-01-05,1787.4999999999998
2018-01-06,2100.000000000001
2018-01-07,2024.9999999999993
2018-01-08,2074.9999999999995
2018-01-09,2050.0
2018-01-10,2075.0
2018-01-11,2412.5000000000005
2018-01-12,2225.0
2018-01-13,1862.4999999999993
2018-01-14,1937.4999999999998
2018-01-15,1875.0000000000002
2018-01-16,1987.4999999999998
2018-01-17,2087.5000000000005
2018-01-18,2162.5000000000005
2018-01-19,2062.5
2018-01-20,2225.000000000001
2018-01-21,2337.500000000001
2018-01-22,2087.5000000000005
2018-01-23,2212.500000000001
2018-01-24,2199.9999999999995
2018-01-25,1975.0
2018-01-26,1937.4999999999998
2018-01-27,1962.5000000000007
2018-01-28,1975.0000000000002
2018-01-29,1849.9999999999998
2018-01-30,2087.5
2018-01-31,1462.4999999999998
2018-02-01,2000.0000000000005
2018-02-02,2100.000000000001
2018-02-03,1975.0000000000002
2018-02-04,2225.0
2018-02-05,2312.5
2018-02-06,2125.0000000000005
2018-02-07,1762.4999999999998
2018-02-08,1637.5
2018-02-09,1687.4999999999995
2018-02-10,1787.4999999999998
2018-02-11,1887.5000000000002
2018-02-12,2075.0
2018-02-13,2050.0
2018-02-14,2237.5
