t,total_addresses
2016-04-11,139760755
2016-04-12,140016283
2016-04-13,140257424
2016-04-14,140498013
2016-04-15,140719008
2016-04-16,140918910
2016-04-17,141130802
2016-04-18,141360550
2016-04-19,141601959
2016-04-20,141838466
2016-04-21,142077974
2016-04-22,142306653
2016-04-23,142508342
2016-04-24,142708228
2016-04-25,142945900
2016-04-26,143211162
2016-04-27,143457528
2016-04-28,143690695
2016-04-29,143939514
2016-04-30,144160272
2016-05-01,144350986
2016-05-02,144566748
2016-05-03,144789339
2016-05-04,145006297
2016-05-05,145220729
2016-05-06,145435718
2016-05-07,145628762
2016-05-08,145812126
2016-05-09,146036561
2016-05-10,146268699
2016-05-11,146493669
2016-05-12,146713941
2016-05-13,146933874
2016-05-14,147135085
2016-05-15,147321257
2016-05-16,147554875
2016-05-17,147783414
2016-05-18,148018136
2016-05-19,148237155
2016-05-20,148442259
2016-05-21,148633390
2016-05-22,148810258
2016-05-23,149030588
2016-05-24,149265657
2016-05-25,149501042
2016-05-26,149724230
2016-05-27,149955885
2016-05-28,150168743
2016-05-29,150356544
2016-05-30,150577893
2016-05-31,150804595
2016-06-01,151046579
2016-06-02,151279874
2016-06-03,151521580
2016-06-04,151722434
2016-06-05,151918565
2016-06-06,152154506
2016-06-07,152400527
2016-06-08,152638484
2016-06-09,152891657
2016-06-10,153135120
2016-06-11,153353055
2016-06-12,153568571
2016-06-13,153829173
2016-06-14,154085950
2016-06-15,154358686
2016-06-16,154636219
2016-06-17,154906795
2016-06-18,155151215
2016-06-19,155374071
2016-06-20,155639160
2016-06-21,155907963
2016-06-22,156157198
2016-06-23,156418492
2016-06-24,156675026
2016-06-25,156896651
2016-06-26,157091495
2016-06-27,157326007
2016-06-28,157574567
2016-06-29,157814274
2016-06-30,158066720
2016-07-01,158298391
2016-07-02,158514398
2016-07-03,158708630
2016-07-04,158942113
2016-07-05,159178324
2016-07-06,159417664
2016-07-07,159659727
2016-07-08,159884986
2016-07-09,160093114
2016-07-10,160276172
2016-07-11,160508622
2016-07-12,160751346
2016-07-13,160984269
2016-07-14,161218154
2016-07-15,161447945
2016-07-16,161654183
2016-07-17,161840412
2016-07-18,162074491
2016-07-19,162302919
2016-07-20,162542048
2016-07-21,162767000
2016-07-22,162996590
2016-07-23,163199876
2016-07-24,163390592
2016-07-25,163632071
2016-07-26,163879449
2016-07-27,164120944
2016-07-28,164361453
2016-07-29,164591461
2016-07-30,164796533
2016-07-31,164994772
2016-08-01,165235486
2016-08-02,165504701
2016-08-03,165763605
2016-08-04,166009149
2016-08-05,166254479
2016-08-06,166468233
2016-08-07,166660689
2016-08-08,166902701
2016-08-09,167153279
2016-08-10,167414195
2016-08-11,167682048
2016-08-12,167929923
2016-08-13,168153513
2016-08-14,168359319
2016-08-15,168576646
2016-08-16,168846666
2016-08-17,169108677
2016-08-18,169371065
2016-08-19,169632910
2016-08-20,169878018
2016-08-21,170088805
2016-08-22,170342736
2016-08-23,170608468
2016-08-24,170871051
2016-08-25,171122010
2016-08-26,171371731
2016-08-27,171600279
2016-08-28,171802437
2016-08-29,172040126
2016-08-30,172318383
2016-08-31,172578214
2016-09-01,172835132
2016-09-02,173083577
2016-09-03,173315007
2016-09-04,173531709
2016-09-05,173794014
2016-09-06,174061248
2016-09-07,174341471
2016-09-08,174612479
2016-09-09,174875900
2016-09-10,175115228
2016-09-11,175348428
2016-09-12,175604158
2016-09-13,175880737
2016-09-14,176151768
2016-09-15,176421023
2016-09-16,176668582
2016-09-17,176927903
2016-09-18,177152754
2016-09-19,177417602
2016-09-20,177703871
2016-09-21,177982305
2016-09-22,178249262
2016-09-23,178516712
2016-09-24,178761675
2016-09-25,178995916
2016-09-26,179278392
2016-09-27,179573826
2016-09-28,179866342
2016-09-29,180166846
2016-09-30,180469303
2016-10-01,180733690
2016-10-02,180968619
2016-10-03,181286991
2016-10-04,181617215
2016-10-05,181938855
2016-10-06,182275251
2016-10-07,182595195
2016-10-08,182895302
2016-10-09,183149267
2016-10-10,183417830
2016-10-11,183730930
2016-10-12,184011860
2016-10-13,184294665
2016-10-14,184590829
2016-10-15,184855698
2016-10-16,185103046
2016-10-17,185397148
2016-10-18,185704267
2016-10-19,185947310
2016-10-20,186285197
2016-10-21,186601226
2016-10-22,186866488
2016-10-23,187102703
2016-10-24,187379280
2016-10-25,187674659
2016-10-26,187958724
2016-10-27,188336184
2016-10-28,188640753
2016-10-29,188919144
2016-10-30,189167298
2016-10-31,189457020
2016-11-01,189755134
2016-11-02,190086893
2016-11-03,190419497
2016-11-04,190731373
2016-11-05,191031111
2016-11-06,191304326
2016-11-07,191640730
2016-11-08,192001974
2016-11-09,192331736
2016-11-10,192667719
2016-11-11,192980439
2016-11-12,193272193
2016-11-13,193547883
2016-11-14,193882985
2016-11-15,194235206
2016-11-16,194572994
2016-11-17,194912049
2016-11-18,195250927
2016-11-19,195562596
2016-11-20,195857471
2016-11-21,196205475
2016-11-22,196555852
2016-11-23,196892877
2016-11-24,197285687
2016-11-25,197652151
2016-11-26,197984696
2016-11-27,198271268
2016-11-28,198640167
2016-11-29,198995147
2016-11-30,199356470
2016-12-01,199651675
2016-12-02,200065574
2016-12-03,200420538
2016-12-04,200725518
2016-12-05,201085013
2016-12-06,201504109
2016-12-07,201899746
2016-12-08,202254031
2016-12-09,202589822
2016-12-10,202905377
2016-12-11,203195113
2016-12-12,203534731
2016-12-13,203894472
2016-12-14,204247628
2016-12-15,204595064
2016-12-16,204940433
2016-12-17,205240140
2016-12-18,205523485
2016-12-19,205871402
2016-12-20,206231747
2016-12-21,206624065
2016-12-22,207010432
2016-12-23,207381089
2016-12-24,207673813
2016-12-25,207904942
2016-12-26,208200668
2016-12-27,208560312
2016-12-28,208932862
2016-12-29,209305862
2016-12-30,209659034
2016-12-31,209964739
2017-01-01,210176230
2017-01-02,210525354
2017-01-03,210886882
2017-01-04,211279286
2017-01-05,211629495
2017-01-06,212028289
2017-01-07,212358731
2017-01-08,212662586
2017-01-09,212990463
2017-01-10,213362597
2017-01-11,213706196
2017-01-12,214047146
2017-01-13,214374504
2017-01-14,214669193
2017-01-15,214947644
2017-01-16,215272414
2017-01-17,215626417
2017-01-18,215979462
2017-01-19,216342854
2017-01-20,216704027
2017-01-21,217027288
2017-01-22,217313168
2017-01-23,217599507
2017-01-24,217964599
2017-01-25,218328940
2017-01-26,218698077
2017-01-27,219025046
2017-01-28,219338626
2017-01-29,219637605
2017-01-30,219944444
2017-01-31,220323536
2017-02-01,220753356
2017-02-02,221067475
2017-02-03,221476453
2017-02-04,221824301
2017-02-05,222179037
2017-02-06,222462445
2017-02-07,222872799
2017-02-08,223234302
2017-02-09,223644272
2017-02-10,223997281
2017-02-11,224309585
2017-02-12,224587623
2017-02-13,224928017
2017-02-14,225295153
2017-02-15,225638714
2017-02-16,225971207
2017-02-17,226349593
2017-02-18,226689403
2017-02-19,226994888
2017-02-20,227327956
2017-02-21,227660632
2017-02-22,227995802
2017-02-23,228384305
2017-02-24,228796317
2017-02-25,229167576
2017-02-26,229473108
2017-02-27,229805582
2017-02-28,230182924
2017-03-01,230551806
2017-03-02,230946454
2017-03-03,231354617
2017-03-04,231681486
2017-03-05,232028530
2017-03-06,232390048
2017-03-07,232795594
2017-03-08,233159518
2017-03-09,233538499
2017-03-10,233919451
2017-03-11,234270711
2017-03-12,234549766
2017-03-13,234890179
2017-03-14,235279759
2017-03-15,235643216
2017-03-16,236059709
2017-03-17,236420789
2017-03-18,236754359
2017-03-19,237092615
2017-03-20,237441938
2017-03-21,237814969
2017-03-22,238217345
2017-03-23,238583376
2017-03-24,238947487
2017-03-25,239275580
2017-03-26,239579536
2017-03-27,239886477
2017-03-28,240273077
2017-03-29,240644934
2017-03-30,241004439
2017-03-31,241348994
2017-04-01,241683318
2017-04-02,241999968
2017-04-03,242371331
2017-04-04,242715406
2017-04-05,243117213
2017-04-06,243499038
2017-04-07,243877026
2017-04-08,244184976
2017-04-09,244502080
2017-04-10,244876535
2017-04-11,245286937
2017-04-12,245669868
2017-04-13,245983950
2017-04-14,246372245
2017-04-15,246716970
2017-04-16,246995358
2017-04-17,247320039
2017-04-18,247711359
2017-04-19,248109646
2017-04-20,248461360
2017-04-21,248885466
2017-04-22,249234951
2017-04-23,249557484
2017-04-24,249862074
2017-04-25,250285963
2017-04-26,250725652
2017-04-27,251114285
2017-04-28,251521307
2017-04-29,251951854
2017-04-30,252303079
2017-05-01,252677055
2017-05-02,253105741
2017-05-03,253498005
2017-05-04,253967667
2017-05-05,254323778
2017-05-06,254797566
2017-05-07,255185925
2017-05-08,255657328
2017-05-09,256099565
2017-05-10,256504831
2017-05-11,256898712
2017-05-12,257313831
2017-05-13,257742681
2017-05-14,258226157
2017-05-15,258648903
2017-05-16,258961028
2017-05-17,259378065
2017-05-18,259767015
2017-05-19,260197276
2017-05-20,260675271
2017-05-21,261108312
2017-05-22,261548614
2017-05-23,262032692
2017-05-24,262479285
2017-05-25,262951512
2017-05-26,263420283
2017-05-27,263866464
2017-05-28,264261158
2017-05-29,264676445
2017-05-30,265133756
2017-05-31,265568531
2017-06-01,266004111
2017-06-02,266374457
2017-06-03,266780686
2017-06-04,267139496
2017-06-05,267545458
2017-06-06,267973894
2017-06-07,268452518
2017-06-08,268879612
2017-06-09,269282113
2017-06-10,269636683
2017-06-11,269952576
2017-06-12,270336450
2017-06-13,270759441
2017-06-14,271164233
2017-06-15,271571677
2017-06-16,271945959
2017-06-17,272275555
2017-06-18,272565264
2017-06-19,272944268
2017-06-20,273346162
2017-06-21,273759955
2017-06-22,274134683
2017-06-23,274486854
2017-06-24,274800759
2017-06-25,275050584
2017-06-26,275405850
2017-06-27,275768970
2017-06-28,276157289
2017-06-29,276489815
2017-06-30,276857791
2017-07-01,277158823
2017-07-02,277426488
2017-07-03,277773568
2017-07-04,278131152
2017-07-05,278456865
2017-07-06,278783143
2017-07-07,279169174
2017-07-08,279475787
2017-07-09,279740381
2017-07-10,280095801
2017-07-11,280464384
2017-07-12,280824762
2017-07-13,281174618
2017-07-14,281497175
2017-07-15,281801079
2017-07-16,282079703
2017-07-17,282413314
2017-07-18,282788641
2017-07-19,283153340
2017-07-20,283490057
2017-07-21,283869749
2017-07-22,284169406
2017-07-23,284419719
2017-07-24,284754203
2017-07-25,285101357
2017-07-26,285437470
2017-07-27,285755760
2017-07-28,286107977
2017-07-29,286400612
2017-07-30,286683461
2017-07-31,287038216
2017-08-01,287252371
2017-08-02,287557683
2017-08-03,287872771
2017-08-04,288206788
2017-08-05,288548670
2017-08-06,288838782
2017-08-07,289209205
2017-08-08,289612317
2017-08-09,290001228
2017-08-10,290388296
2017-08-11,290814580
2017-08-12,291185982
2017-08-13,291561793
2017-08-14,291949279
2017-08-15,292399526
2017-08-16,292801000
2017-08-17,293260661
2017-08-18,293661291
2017-08-19,294029048
2017-08-20,294334385
2017-08-21,294687908
2017-08-22,294988537
2017-08-23,295439638
2017-08-24,295748590
2017-08-25,296066823
2017-08-26,296403963
2017-08-27,296754162
2017-08-28,297092789
2017-08-29,297509168
2017-08-30,297909029
2017-08-31,298322497
2017-09-01,298735888
2017-09-02,299084283
2017-09-03,299371912
2017-09-04,299756656
2017-09-05,300162594
2017-09-06,300573197
2017-09-07,300949353
2017-09-08,301345073
2017-09-09,301657625
2017-09-10,301936627
2017-09-11,302303194
2017-09-12,302680781
2017-09-13,303058323
2017-09-14,303442859
2017-09-15,303864496
2017-09-16,304197340
2017-09-17,304488317
2017-09-18,304821891
2017-09-19,305231358
2017-09-20,305581564
2017-09-21,305952317
2017-09-22,306290105
2017-09-23,306581134
2017-09-24,306848008
2017-09-25,307186335
2017-09-26,307568556
2017-09-27,307945483
2017-09-28,308344617
2017-09-29,308716997
2017-09-30,309033162
2017-10-01,309329355
2017-10-02,309740944
2017-10-03,310150200
2017-10-04,310495678
2017-10-05,310885454
2017-10-06,311287184
2017-10-07,311637821
2017-10-08,311968159
2017-10-09,312377821
2017-10-10,312799803
2017-10-11,313219879
2017-10-12,313644460
2017-10-13,314093411
2017-10-14,314499305
2017-10-15,314895057
2017-10-16,315343672
2017-10-17,315819106
2017-10-18,316280531
2017-10-19,316767692
2017-10-20,317192692
2017-10-21,317616330
2017-10-22,317999794
2017-10-23,318456651
2017-10-24,318958934
2017-10-25,319405002
2017-10-26,319788383
2017-10-27,320158832
2017-10-28,320462212
2017-10-29,320922747
2017-10-30,321398226
2017-10-31,321827145
2017-11-01,322346000
2017-11-02,322860829
2017-11-03,323299891
2017-11-04,323731488
2017-11-05,324108578
2017-11-06,324526341
2017-11-07,325021833
2017-11-08,325474101
2017-11-09,325985322
2017-11-10,326405029
2017-11-11,326704754
2017-11-12,327010793
2017-11-13,327484638
2017-11-14,327900312
2017-11-15,328386293
2017-11-16,328846572
2017-11-17,329284222
2017-11-18,329695262
2017-11-19,330090908
2017-11-20,330589141
2017-11-21,331108710
2017-11-22,331571382
2017-11-23,332086452
2017-11-24,332537047
2017-11-25,333018717
2017-11-26,333519779
2017-11-27,334106433
2017-11-28,334684971
2017-11-29,335324058
2017-11-30,335913576
2017-12-01,336490441
2017-12-02,336957267
2017-12-03,337482179
2017-12-04,338095601
2017-12-05,338717331
2017-12-06,339415206
2017-12-07,340056233
2017-12-08,340713752
2017-12-09,341345509
2017-12-10,341869897
2017-12-11,342467698
2017-12-12,343077905
2017-12-13,343760084
2017-12-14,344560264
2017-12-15,345219615
2017-12-16,345798332
2017-12-17,346423413
2017-12-18,347070500
2017-12-19,347707329
2017-12-20,348315584
2017-12-21,348892174
2017-12-22,349505532
2017-12-23,349988481
2017-12-24,350406534
2017-12-25,350753932
2017-12-26,351145924
2017-12-27,351654124
2017-12-28,352150397
2017-12-29,352713531
2017-12-30,353262140
2017-12-31,353703286
2018-01-01,354079681
2018-01-02,354644463
2018-01-03,355294816
2018-01-04,356000318
2018-01-05,356593075
2018-01-06,357182785
2018-01-07,357803885
2018-01-08,358382276
2018-01-09,358999482
2018-01-10,359583062
2018-01-11,360134883
2018-01-12,360625369
2018-01-13,361058371
2018-01-14,361438881
2018-01-15,361887752
2018-01-16,362364774
2018-01-17,362866320
2018-01-18,363352712
2018-01-19,363731907
2018-01-20,364105467
2018-01-21,364428633
2018-01-22,364798048
2018-01-23,365149760
2018-01-24,365530249
2018-01-25,365882457
2018-01-26,366219352
2018-01-27,366605451
2018-01-28,366916089
2018-01-29,367258231
2018-01-30,367611051
2018-01-31,367924550
2018-02-01,368309563
2018-02-02,368660032
2018-02-03,368936648
2018-02-04,369184938
2018-02-05,369493226
2018-02-06,369851566
2018-02-07,370167090
2018-02-08,370424765
2018-02-09,370702172
2018-02-10,370976062
2018-02-11,371202925
2018-02-12,371489295
2018-02-13,371768538
2018-02-14,372063189
2018-02-15,372365490
2018-02-16,372644241
2018-02-17,372907287
2018-02-18,373149861
2018-02-19,373435293
2018-02-20,373741716
2018-02-21,374047846
2018-02-22,374325899
2018-02-23,374596429
2018-02-24,374819339
2018-02-25,375037743
2018-02-26,375315893
2018-02-27,375644263
2018-02-28,375917303
2018-03-01,376261398
2018-03-02,376561741
2018-03-03,376827137
2018-03-04,377071672
2018-03-05,377377934
2018-03-06,377673835
2018-03-07,377975926
2018-03-08,378258010
2018-03-09,378539983
2018-03-10,378767332
2018-03-11,378986704
2018-03-12,379255016
2018-03-13,379526892
2018-03-14,379804028
2018-03-15,380099682
2018-03-16,380370755
2018-03-17,380594412
2018-03-18,380832332
2018-03-19,381108271
2018-03-20,381392905
2018-03-21,381674205
2018-03-22,381944891
2018-03-23,382206194
2018-03-24,382437087
2018-03-25,382637595
2018-03-26,382909930
2018-03-27,383180570
2018-03-28,383438736
2018-03-29,383711835
2018-03-30,383973884
2018-03-31,384185116
2018-04-01,384380248
2018-04-02,384620631
2018-04-03,384906974
2018-04-04,385175366
2018-04-05,385438508
2018-04-06,385697756
2018-04-07,385913476
2018-04-08,386110269
2018-04-09,386361409
2018-04-10,386630566
2018-04-11,386894321
2018-04-12,387190227
2018-04-13,387504213
2018-04-14,387743376
2018-04-15,388008601
2018-04-16,388297531
2018-04-17,388596483
2018-04-18,388893085
2018-04-19,389207837
2018-04-20,389512342
2018-04-21,389795669
2018-04-22,390046546
2018-04-23,390359889
2018-04-24,390723140
2018-04-25,391034665
2018-04-26,391348462
2018-04-27,391653624
2018-04-28,391918835
2018-04-29,392175959
2018-04-30,392488775
2018-05-01,392808416
2018-05-02,393118386
2018-05-03,393453789
2018-05-04,393772454
2018-05-05,394064560
2018-05-06,394306313
2018-05-07,394602630
2018-05-08,394914118
2018-05-09,395217765
2018-05-10,395523770
2018-05-11,395826215
2018-05-12,396083381
2018-05-13,396314349
2018-05-14,396621879
2018-05-15,396937156
2018-05-16,397232481
2018-05-17,397507113
2018-05-18,397806240
2018-05-19,398050323
2018-05-20,398283382
2018-05-21,398575511
2018-05-22,398868211
2018-05-23,399178640
2018-05-24,399467992
2018-05-25,399746396
2018-05-26,399971787
2018-05-27,400179126
2018-05-28,400438700
2018-05-29,400726046
2018-05-30,401020748
2018-05-31,401323854
2018-06-01,401622469
2018-06-02,401870324
2018-06-03,402102321
2018-06-04,402398877
2018-06-05,402703128
2018-06-06,403000411
2018-06-07,403287960
2018-06-08,403572671
2018-06-09,403811378
2018-06-10,404052596
2018-06-11,404340363
2018-06-12,404636460
2018-06-13,404924731
2018-06-14,405213878
2018-06-15,405498020
2018-06-16,405719230
2018-06-17,405922325
2018-06-18,406202784
2018-06-19,406473511
2018-06-20,406756848
2018-06-21,407031429
2018-06-22,407309734
2018-06-23,407540027
2018-06-24,407753853
2018-06-25,408026415
2018-06-26,408296241
2018-06-27,408558229
2018-06-28,408817711
2018-06-29,409090977
2018-06-30,409332478
2018-07-01,409543730
2018-07-02,409817560
2018-07-03,410119698
2018-07-04,410405882
2018-07-05,410677940
2018-07-06,410959665
2018-07-07,411187581
2018-07-08,411408252
2018-07-09,411691266
2018-07-10,411985143
2018-07-11,412260742
2018-07-12,412530956
2018-07-13,412819105
2018-07-14,413056169
2018-07-15,413275627
2018-07-16,413562381
2018-07-17,413890369
2018-07-18,414220524
2018-07-19,414530794
2018-07-20,414837954
2018-07-21,415089142
2018-07-22,415324654
2018-07-23,415641916
2018-07-24,416002246
2018-07-25,416352873
2018-07-26,416673563
2018-07-27,416992964
2018-07-28,417253694
2018-07-29,417498989
2018-07-30,417817065
2018-07-31,418153307
2018-08-01,418484015
2018-08-02,418795953
2018-08-03,419105616
2018-08-04,419372442
2018-08-05,419605780
2018-08-06,419905929
2018-08-07,420226375
2018-08-08,420549729
2018-08-09,420853877
2018-08-10,421163252
2018-08-11,421418393
2018-08-12,421641639
2018-08-13,421945402
2018-08-14,422285139
2018-08-15,422626970
2018-08-16,422944666
2018-08-17,423265518
2018-08-18,423527508
2018-08-19,423772573
2018-08-20,424086340
2018-08-21,424389020
2018-08-22,424712106
2018-08-23,425009589
2018-08-24,425312934
2018-08-25,425584111
2018-08-26,425817252
2018-08-27,426126391
2018-08-28,426453127
2018-08-29,426790264
2018-08-30,427103305
2018-08-31,427428748
2018-09-01,427713442
2018-09-02,427965464
2018-09-03,428269926
2018-09-04,428590276
2018-09-05,428925784
2018-09-06,429260511
2018-09-07,429574892
2018-09-08,429850622
2018-09-09,430101256
2018-09-10,430402654
2018-09-11,430723637
2018-09-12,431035835
2018-09-13,431351783
2018-09-14,431649755
2018-09-15,431933890
2018-09-16,432176344
2018-09-17,432509529
2018-09-18,432847884
2018-09-19,433187332
2018-09-20,433534402
2018-09-21,433904837
2018-09-22,434212861
2018-09-23,434481748
2018-09-24,434802914
2018-09-25,435139761
2018-09-26,435464369
2018-09-27,435794883
2018-09-28,436138163
2018-09-29,436429273
2018-09-30,436703153
2018-10-01,437030955
2018-10-02,437365682
2018-10-03,437772914
2018-10-04,438128459
2018-10-05,438470914
2018-10-06,438776867
2018-10-07,439093177
2018-10-08,439420154
2018-10-09,439733041
2018-10-10,440060621
2018-10-11,440397557
2018-10-12,440718819
2018-10-13,440986713
2018-10-14,441237175
2018-10-15,441574897
2018-10-16,441911899
2018-10-17,442251190
2018-10-18,442579700
2018-10-19,442907221
2018-10-20,443199459
2018-10-21,443466573
2018-10-22,443798733
2018-10-23,444127078
2018-10-24,444453567
2018-10-25,444775126
2018-10-26,445098045
2018-10-27,445386927
2018-10-28,445655896
2018-10-29,445992247
2018-10-30,446339104
2018-10-31,446691515
2018-11-01,447036207
2018-11-02,447390872
2018-11-03,447698264
2018-11-04,447972721
2018-11-05,448342212
2018-11-06,448704036
2018-11-07,449065604
2018-11-08,449407667
2018-11-09,449759650
2018-11-10,450065882
2018-11-11,450350185
2018-11-12,450698774
2018-11-13,451035186
2018-11-14,451383664
2018-11-15,451724855
2018-11-16,452063879
2018-11-17,452347677
2018-11-18,452599977
2018-11-19,452905201
2018-11-20,453263260
2018-11-21,453572842
2018-11-22,453879428
2018-11-23,454172916
2018-11-24,454433242
2018-11-25,454690791
2018-11-26,454996224
2018-11-27,455302278
2018-11-28,455602002
2018-11-29,455908845
2018-11-30,456211804
2018-12-01,456482758
2018-12-02,456727973
2018-12-03,457014033
2018-12-04,457359836
2018-12-05,457658169
2018-12-06,457985920
2018-12-07,458295066
2018-12-08,458549733
2018-12-09,458794428
2018-12-10,459090717
2018-12-11,459386224
2018-12-12,459686299
2018-12-13,459987119
2018-12-14,460287512
2018-12-15,460559230
2018-12-16,460803511
2018-12-17,461124101
2018-12-18,461440875
2018-12-19,461778246
2018-12-20,462101009
2018-12-21,462420869
2018-12-22,462681776
2018-12-23,462926226
2018-12-24,463202091
2018-12-25,463430651
2018-12-26,463694793
2018-12-27,463988750
2018-12-28,464305223
2018-12-29,464597001
2018-12-30,464856068
2018-12-31,465120975
2019-01-01,465325537
2019-01-02,465612491
2019-01-03,465925016
2019-01-04,466225825
2019-01-05,466492385
2019-01-06,466756900
2019-01-07,467065582
2019-01-08,467390332
2019-01-09,467709028
2019-01-10,468037855
2019-01-11,468349097
2019-01-12,468623925
2019-01-13,468876688
2019-01-14,469193865
2019-01-15,469521493
2019-01-16,469873957
2019-01-17,470195902
2019-01-18,470523083
2019-01-19,470800625
2019-01-20,471064445
2019-01-21,471372150
2019-01-22,471684472
2019-01-23,472015211
2019-01-24,472344523
2019-01-25,472676284
2019-01-26,472993299
2019-01-27,473256690
2019-01-28,473586372
2019-01-29,473924928
2019-01-30,474249302
2019-01-31,474592392
2019-02-01,474929680
2019-02-02,475222989
2019-02-03,475495754
2019-02-04,475813887
2019-02-05,476174324
2019-02-06,476516875
2019-02-07,476852892
2019-02-08,477193745
2019-02-09,477486832
2019-02-10,477748883
2019-02-11,478068598
2019-02-12,478415273
2019-02-13,478805537
2019-02-14,479136643
2019-02-15,479454649
2019-02-16,479761813
2019-02-17,480030838
2019-02-18,480378222
2019-02-19,480757982
2019-02-20,481125284
2019-02-21,481465880
2019-02-22,481835334
2019-02-23,482141692
2019-02-24,482433811
2019-02-25,482776899
2019-02-26,483148703
2019-02-27,483510549
2019-02-28,483874774
2019-03-01,484232771
2019-03-02,484577430
2019-03-03,484869826
2019-03-04,485218872
2019-03-05,485591442
2019-03-06,485954697
2019-03-07,486312885
2019-03-08,486675110
2019-03-09,486998061
2019-03-10,487266298
2019-03-11,487652401
2019-03-12,488017516
2019-03-13,488376936
2019-03-14,488757000
2019-03-15,489128410
2019-03-16,489450514
2019-03-17,489731212
2019-03-18,490089249
2019-03-19,490469992
2019-03-20,490843715
2019-03-21,491214565
2019-03-22,491578423
2019-03-23,491888095
2019-03-24,492173945
2019-03-25,492534077
2019-03-26,492887277
2019-03-27,493283268
2019-03-28,493679721
2019-03-29,494063472
2019-03-30,494406776
2019-03-31,494721323
2019-04-01,495074166
2019-04-02,495530545
2019-04-03,495959100
2019-04-04,496372326
2019-04-05,496784306
2019-04-06,497113983
2019-04-07,497419200
2019-04-08,497816687
2019-04-09,498211456
2019-04-10,498617092
2019-04-11,499049981
2019-04-12,499428773
2019-04-13,499747434
2019-04-14,500042003
2019-04-15,500440321
2019-04-16,500824027
2019-04-17,501207100
2019-04-18,501587059
2019-04-19,501989757
2019-04-20,502305448
2019-04-21,502591990
2019-04-22,502927772
2019-04-23,503302469
2019-04-24,503740093
2019-04-25,504130461
2019-04-26,504514038
2019-04-27,504826307
2019-04-28,505128443
2019-04-29,505508350
2019-04-30,505912354
2019-05-01,506305715
2019-05-02,506708122
2019-05-03,507115655
2019-05-04,507465088
2019-05-05,507782004
2019-05-06,508172615
2019-05-07,508562649
2019-05-08,508997742
2019-05-09,509420758
2019-05-10,509822723
2019-05-11,510224800
2019-05-12,510604588
2019-05-13,511048601
2019-05-14,511504453
2019-05-15,511953764
2019-05-16,512405676
2019-05-17,512834172
2019-05-18,513234961
2019-05-19,513585516
2019-05-20,513994006
2019-05-21,514429583
2019-05-22,514853948
2019-05-23,515268917
2019-05-24,515670471
2019-05-25,516006487
2019-05-26,516323655
2019-05-27,516743091
2019-05-28,517184305
2019-05-29,517628488
2019-05-30,518040165
2019-05-31,518401455
2019-06-01,518782529
2019-06-02,519101955
2019-06-03,519451886
2019-06-04,519896197
2019-06-05,520306108
2019-06-06,520700051
2019-06-07,521084785
2019-06-08,521393503
2019-06-09,521673688
2019-06-10,522059858
2019-06-11,522457566
2019-06-12,522845272
2019-06-13,523282898
2019-06-14,523756937
2019-06-15,524163126
2019-06-16,524505375
2019-06-17,524900565
2019-06-18,525372134
2019-06-19,525814355
2019-06-20,526215052
2019-06-21,526633440
2019-06-22,527062018
2019-06-23,527458794
2019-06-24,527886286
