t,new_addresses
2017-07-11,368583
2017-07-12,360378
2017-07-13,349856
2017-07-14,322557
2017-07-15,303904
2017-07-16,278624
2017-07-17,333611
2017-07-18,375327
2017-07-19,364699
2017-07-20,336717
2017-07-21,379692
2017-07-22,299657
2017-07-23,250313
2017-07-24,334484
2017-07-25,347154
2017-07-26,336113
2017-07-27,318290
2017-07-28,352217
2017-07-29,292635
2017-07-30,282849
2017-07-31,354755
2017-08-01,214155
2017-08-02,305312
2017-08-03,315088
2017-08-04,334017
2017-08-05,341882
2017-08-06,290112
2017-08-07,370423
2017-08-08,403112
2017-08-09,388911
2017-08-10,387068
2017-08-11,426284
2017-08-12,371402
2017-08-13,375811
2017-08-14,387486
2017-08-15,450247
2017-08-16,401474
2017-08-17,459661
2017-08-18,400630
2017-08-19,367757
2017-08-20,305337
2017-08-21,353523
2017-08-22,300629
2017-08-23,451101
2017-08-24,308952
2017-08-25,318233
2017-08-26,337140
2017-08-27,350199
2017-08-28,338627
2017-08-29,416379
2017-08-30,399861
2017-08-31,413468
2017-09-01,413391
2017-09-02,348395
2017-09-03,287629
2017-09-04,384744
2017-09-05,405938
2017-09-06,410603
2017-09-07,376156
2017-09-08,395720
2017-09-09,312552
2017-09-10,279002
2017-09-11,366567
2017-09-12,377587
2017-09-13,377542
2017-09-14,384536
2017-09-15,421637
2017-09-16,332844
2017-09-17,290977
2017-09-18,333574
2017-09-19,409467
2017-09-20,350206
2017-09-21,370753
2017-09-22,337788
2017-09-23,291029
2017-09-24,266874
2017-09-25,338327
2017-09-26,382221
2017-09-27,376927
2017-09-28,399134
2017-09-29,372380
2017-09-30,316165
2017-10-01,296193
2017-10-02,411589
2017-10-03,409256
2017-10-04,345478
2017-10-05,389776
2017-10-06,401730
2017-10-07,350637
2017-10-08,330338
2017-10-09,409662
2017-10-10,421982
2017-10-11,420076
2017-10-12,424581
2017-10-13,448951
2017-10-14,405894
2017-10-15,395752
2017-10-16,448615
2017-10-17,475434
2017-10-18,461425
2017-10-19,487161
2017-10-20,425000
2017-10-21,423638
2017-10-22,383464
2017-10-23,456857
2017-10-24,502283
2017-10-25,446068
2017-10-26,383381
2017-10-27,370449
2017-10-28,303380
2017-10-29,460535
2017-10-30,475479
2017-10-31,428919
2017-11-01,518855
2017-11-02,514829
2017-11-03,439062
2017-11-04,431597
2017-11-05,377090
2017-11-06,417763
2017-11-07,495492
2017-11-08,452268
2017-11-09,511221
2017-11-10,419707
2017-11-11,299725
2017-11-12,306039
2017-11-13,473845
2017-11-14,415674
2017-11-15,485981
2017-11-16,460279
2017-11-17,437650
2017-11-18,411040
2017-11-19,395646
2017-11-20,498233
2017-11-21,519569
2017-11-22,462672
2017-11-23,515070
2017-11-24,450595
2017-11-25,481670
2017-11-26,501062
2017-11-27,586654
2017-11-28,578538
2017-11-29,639087
2017-11-30,589518
2017-12-01,576865
2017-12-02,466826
2017-12-03,524912
2017-12-04,613422
2017-12-05,621730
2017-12-06,697875
2017-12-07,641027
2017-12-08,657519
2017-12-09,631757
2017-12-10,524388
2017-12-11,597801
2017-12-12,610207
2017-12-13,682179
2017-12-14,800180
2017-12-15,659351
2017-12-16,578717
2017-12-17,625081
2017-12-18,647087
2017-12-19,636829
2017-12-20,608255
2017-12-21,576590
2017-12-22,613358
